# MA TRẬN LỆNH GIỌNG NÓI — tầng T1 (chữ → ý định → thi hành) qua T-BRIDGE `say`
# Cột: id | lop | cau | kind_mong_doi | chuoi_mong_doi_trong_preview | confirm(1=phải hỏi lại) | auto_confirm | side | prefs
#  • kind_mong_doi: tên lớp VoiceIntent (Control/Macro/Launcher/Profile/Read/Nav/Media/OpenApp/Unknown),
#    nhiều vế ngăn bằng dấu phẩy (câu ghép). "-" = không kiểm.
#  • chuoi_mong_doi: chuỗi con phải có trong `preview` (nối mọi vế). "-" = không kiểm.
#  • confirm: 1 ⇒ reply phải có `needs_confirm` KHÔNG rỗng và KHÔNG được thi hành.
#    ⚠⚠ **1.66 — mặc định Kachi CHẠY LUÔN** (owner chốt 2026-09-16 · bảng B): tập việc-phải-hỏi
#    (`voice_confirm_ids`) mặc định RỖNG và người dùng tự tích trong Cài đặt. Vì thế mọi ca `confirm=1`
#    dưới đây **phải tự bật mã của nó** qua cột `prefs` — chính đó là thứ đang đo: *"tích một mã ⇒ đúng mã
#    đó hỏi lại"*. Ca KHÔNG có cột `prefs` mà vẫn bị hỏi lại ⇒ FAIL (mặc định bị rò).
#    [SOÁT Pass 1 · 2026-09-16] Bản 1.66 đầu hạ cả 8 ca này về 0 vì cầu kiểm thử chưa ghi được prefs; lệnh
#    `prefs_set` (danh sách trắng 5 khoá) đã trả lại lớp canh ấy.
#    ⚠ NGOẠI LỆ **t53**: nó giữ `confirm=1` **không cần** `prefs` vì câu hỏi ở đó KHÔNG đến từ `VoiceRiskTable`
#    mà từ đường **giao điểm đến cho app chỉ-nhận-toạ-độ** (`VoiceTargetDispatch`: đọc lại tên vừa tra được rồi
#    mới bắn). Hai cổng khác nhau, hai lý do khác nhau — gộp chúng lại là mất một trong hai.
#  • side: "-" | resumed:<pkg> | slot:<n>:<pkg> | profile:<ten> | preset:<TEN_LAYOUT> | chip_labels:<True|False> | media
#  • prefs: "-" | <khoá>=<giá trị>[;<khoá>=<giá trị>…] — đặt TRƯỚC ca, harness tự trả về mặc định SAU ca
#    (`prefs_set`, danh sách trắng ở `TestBridgeCommands.WRITABLE_PREFS_KEYS`). Giá trị rỗng = xoá/mặc định.
#  • @PROFILE@ được harness thay bằng một hồ sơ có thật (đọc từ bridge `state`).
# ── TOGGLE ──────────────────────────────────────────────────────────────────────────────────────
# ⚠ (V) FEATURE-FILTER 2026-09-17 — ĐÃ BỎ 4 ca vì chính mã chúng nhắm tới đã bị owner chấm NO và xoá khỏi
#   registry (không phải vì chúng đỏ): t21 `chế độ lái thể thao` · t22 `đặt chế độ lái eco` · t107
#   `chế độ đá thể thao` (cả ba nhắm nút `drive_mode`) và t25 `sạc ngay` (nút `start_charging`).
#   Tổng ca T1: 109 → 105. Id KHÔNG đánh số lại — id là khoá tra ngược về các lượt đo cũ.
t01	toggle	bật đèn đọc	Control	Bật Đèn đọc	0	0	-	-
t02	toggle	tắt đèn đọc	Control	Tắt Đèn đọc	0	0	-	-
t03	toggle	bật lọc bụi	Control	Bật Lọc bụi	0	0	-	-
t04	toggle	tắt điều hoà	Control	Tắt Điều hòa	0	0	-	-
t05	toggle	bật sưởi ghế	Control	Bật Ghế sưởi	0	0	-	-
t06	toggle	mở cửa sổ trời	Control	Cửa sổ trời	0	0	-	-
t07	toggle	khoá xe	Control	Khóa	0	0	-	-
t08	toggle-confirm	tắt khoá xe	Control	Khóa	1	0	-	voice_confirm_ids=control:lock
t09	toggle-confirm	dừng chiếu cụm	Control	Chiếu cụm	1	0	-	voice_confirm_ids=control:cast
# ── COVER (kính) ────────────────────────────────────────────────────────────────────────────────
t10	cover	mở kính trước trái	Control	Mở Kính trước-trái	0	0	-	-
t11	cover	đóng kính trước trái	Control	Đóng Kính trước-trái	0	0	-	-
t12	cover	mở kính bên lái	Control	Kính	0	0	-	-
t13	cover-confirm	mở hết kính	Macro	Mở hết kính	1	0	-	voice_confirm_ids=macro:mac_win_open_all
t14	macro	đóng hết kính	Macro	Đóng hết kính	0	0	-	-
# ── STEP ────────────────────────────────────────────────────────────────────────────────────────
t15	step	nhiệt độ hai mươi bốn độ	Control	Nhiệt độ = 24	0	0	-	-
t16	step	đặt nhiệt độ 24 độ	Control	Nhiệt độ = 24	0	0	-	-
t17	step	tăng gió	Control	Tăng Gió	0	0	-	-
t18	step	giảm âm lượng	Control	Giảm Âm lượng	0	0	-	-
t19	step	tăng âm lượng tối đa	Control	Âm lượng = 30	0	0	-	-
t20	step	đặt độ sáng màn 8	Control	Độ sáng màn = 8	0	0	-	-
# ── SELECT ──────────────────────────────────────────────────────────────────────────────────────
t23	select	màu đèn viền xanh lá	Control	Màu đèn viền	0	0	-	-
# ── BUTTON ──────────────────────────────────────────────────────────────────────────────────────
t24	button	lọc ngay	Control	Bấm Lọc ngay	0	0	-	-
t26	button-confirm	mở khoá cửa	Control	Mở khóa cửa	1	0	-	voice_confirm_ids=control:door
t27	button-confirm	mở khoá cửa	Control	Mở khóa cửa	0	1	-	-
# ── MACRO ───────────────────────────────────────────────────────────────────────────────────────
t28	macro	rời xe	Macro	Rời xe	0	0	-	-
t29	macro	chạy gói mở cửa + đèn đọc	Macro	Mở cửa	0	1	-	-
# ── LAUNCHER ────────────────────────────────────────────────────────────────────────────────────
t30	launcher	mở cài đặt	Launcher	Cài đặt	0	0	-	-
t31	launcher	mở ứng dụng	Launcher	Ứng dụng	0	0	-	-
t32	launcher	nói với xe	Launcher	Nói với xe	0	0	-	-
# ── ĐỌC THÔNG TIN ───────────────────────────────────────────────────────────────────────────────
t33	read	xem pin	Read	-	0	0	-	-
t34	read	pin còn bao nhiêu	Read	-	0	0	-	-
t35	read	nhiệt độ ngoài trời bao nhiêu	Read	-	0	0	-	-
t36	read	đọc tầm hoạt động	Read	-	0	0	-	-
t37	read-mismatch	xem đèn đọc	Unknown	-	0	0	-	-
# ── MỞ / ĐÓNG APP ───────────────────────────────────────────────────────────────────────────────
t38	app	mở YouTube	OpenApp	YouTube	0	0	resumed:com.google.android.youtube	-
t39	app	mở Maps	OpenApp	Maps	0	0	resumed:com.google.android.apps.maps	-
t40	app	mở ứng dụng YouTube	OpenApp	YouTube	0	0	resumed:com.google.android.youtube	-
t41	app-close	đóng YouTube	-	-	0	0	-	-
t42	app-close	tắt YouTube	-	-	0	0	-	-
t43	app-slot	đưa YouTube vào ô hai	OpenApp	ô 2	0	0	slot:2:com.google.android.youtube	-
t44	app-slot	mở YouTube vào ô số 9	OpenApp	ô 9	0	0	-	-
t45	app	mở bản đồ	-	-	0	0	-	-
# ── NHẠC ────────────────────────────────────────────────────────────────────────────────────────
t46	media	phát nhạc	Media	Phát nhạc	0	0	media	-
t47	media	dừng nhạc	Media	Dừng nhạc	0	0	-	-
